防御率2.12,試合37,先発0,救援37,連投(試)0,連投(日)0,勝利4,敗戦1,HLD16,Ｓ0,ＨＰ20,ＳＰ4,救勝4,救敗1,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.800,34.0,136,522,15.4,26,0,34,10,0,1,1,0,8,8,1.06,-
