左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
37.8% (34),37.8% (34),37.8% (34),22.2% (20),22.2% (20),22.2% (20),40.0% (36),40.0% (36),40.0% (36)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
18.5% (5),- (0),46.0% (29),25.9% (7),- (0),20.6% (13),55.6% (15),- (0),33.3% (21)
