チーム,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
巨人,0.182,7,14,11,0,2,0,0,0,2,0,2,3,0,0,0,0,0,0,0,0.357,0.182,0.539
阪神,0.209,12,48,43,4,9,2,0,0,11,4,13,1,0,1,1,2,0,0,0,0.234,0.256,0.49
ＤｅＮＡ,0.278,7,18,18,1,5,2,0,0,7,1,5,0,0,0,0,0,0,0,0,0.278,0.389,0.667
広島,0.233,10,32,30,3,7,2,0,0,9,0,6,1,0,1,0,0,0,0,0,0.281,0.3,0.581
中日,0.25,8,19,16,3,4,0,0,0,4,1,2,1,0,2,0,0,0,0,1,0.368,0.25,0.618
