NOI202.7,GPA.101,RC-0.38,RC27-0.32,XR-0.07,XR27-0.06,RCAA-4.12,XR+-3.85,RCWIN-0.48,XRWIN-0.45,BABIP.150
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.25,0.078,12.67,3.17,0.000,-,0.094,0.207,-,39.5%,
