HQS率-,SQS率-,被打率.400,被BABIP.400,被出塁率.481,被長打率.450,K/BB0.50,K/93.86,BB/97.71,HR/90.00,GO/AO0.38,援護率-,IPR0.67,NHB%0.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
5.09,46.2%,-5.27,-0.61,-3.42,14,4.2,0,0,4.2,7,0,0,
