左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
37.5% (3),37.5% (3),37.5% (3),0.0% (0),0.0% (0),0.0% (0),62.5% (5),62.5% (5),62.5% (5)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
0.0% (0),- (0),42.9% (3),0.0% (0),- (0),0.0% (0),100.0% (1),- (0),57.1% (4)
