NOI197.1,GPA.100,RC0.11,RC270.17,XR0.29,XR270.46,RCAA-1.70,XR+-1.53,RCWIN-0.20,XRWIN-0.18,BABIP.125
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.22,0.099,9.50,2.11,0.059,-,0.353,0.412,0.00,57.9%,
