HQS率47.8%,SQS率47.8%,被打率.251,被BABIP.269,被出塁率.307,被長打率.377,K/BB1.65,K/93.77,BB/92.29,HR/90.56,GO/AO1.20,援護率2.44,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.62,80.6%,7.88,0.93,4.11,507,0.0,155,42,0.0,0,0,0,
