NOI403.3,GPA.207,RC6.60,RC273.24,XR6.65,XR273.26,RCAA-1.18,XR+-1.22,RCWIN-0.14,XRWIN-0.14,BABIP.354
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.30,0.070,13.17,3.95,0.000,-,0.118,0.510,0.00,32.9%,
