種別,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
DayGame,3.0,15,0,15,2,2,9,0,11,2,2,2,15.0,14,0,15,3,1,5,5,1.13,0.25,-,3.0
Nighter,1.81,47,0,47,6,2,37,1,43,7,6,2,44.2,33,4,45,11,3,9,9,0.99,0.201,-,4.96
