条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右打者,0.216,111,97,21,1,0,1,30,5,3,5,1
対左打者,0.211,133,123,26,3,2,3,30,9,1,0,0
