球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,471,40.2%,147.7,20,87,80,204,39.7%,11.1%,.318,85,27,3,6,14,4
カットボール,145,12.4%,138.8,19,20,22,51,42.1%,25.7%,.306,36,11,2,3,6,0
スライダー,141,12.0%,130.2,21,21,14,56,39.7%,32.8%,.278,36,10,4,7,2,0
チェンジアップ,129,11.0%,131.4,16,13,24,48,41.1%,23.5%,.273,33,9,1,5,3,0
フォーク,80,6.8%,134.8,16,7,14,29,46.3%,36.4%,.350,20,7,1,6,1,1
ツーシーム,64,5.5%,139.5,2,13,13,21,43.8%,6.7%,.533,15,8,1,0,2,0
カーブ,40,3.4%,119.6,2,8,5,20,37.5%,16.7%,.333,6,2,0,2,1,1
シュート,36,3.1%,144.7,0,5,8,21,36.1%,0.0%,.500,2,1,1,0,2,1
ナックルカーブ,24,2.0%,127.9,4,1,6,7,45.8%,25.0%,.375,8,3,1,2,0,0
スプリット,22,1.9%,139.0,4,0,7,9,50.0%,30.8%,.000,4,0,0,2,0,0
シンカー,10,0.9%,137.3,2,0,3,1,50.0%,22.2%,.750,4,3,1,0,0,0
高速スライダー,4,0.3%,137.7,0,1,2,1,75.0%,0.0%,-,0,0,0,0,0,0
縦スライダー,3,0.3%,125.3,0,0,1,0,33.3%,0.0%,.500,2,1,0,0,0,0
パーム,2,0.2%,115.0,0,0,1,1,50.0%,0.0%,-,0,0,0,0,0,0
スラーブ,1,0.1%,110.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
