NOI222.2,GPA.117,RC0.02,RC270.04,XR0.12,XR270.21,RCAA-1.69,XR+-1.60,RCWIN-0.20,XRWIN-0.19,BABIP.214
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,-0.000,-,4.50,-0.000,-,0.000,0.200,-,22.2%,
