HQS率-,SQS率-,被打率.231,被BABIP.182,被出塁率.333,被長打率.538,K/BB1.00,K/92.25,BB/92.25,HR/92.25,GO/AO1.25,援護率-,IPR2.00,NHB%0.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
7.02,83.3%,-0.55,-0.06,-0.68,12,4.0,0,0,4.0,2,0,0,
