打率.286,試合111,打席384,打数357,得点49,安打102,内安15,内安率14.7,２Ｂ15,３Ｂ7,本塁2,HR勝敗1-1-0,塁打137,打点34,三振49
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
14,0,3,5,5,20,4,83.3,5,0,3,.286,.314,.384,.698
