球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,528,42.8%,147.5,22,53,179,148,48.1%,6.7%,0.268,142,38,1,19,9,1
スライダー,139,11.3%,129.2,20,22,28,37,50.4%,25.0%,0.2,40,8,0,11,0,0
フォーク,121,9.8%,138.3,17,10,21,39,39.7%,23.6%,0.421,38,16,1,4,0,1
カットボール,121,9.8%,138.8,10,8,42,33,49.6%,12.5%,0.313,32,10,0,4,2,0
チェンジアップ,106,8.6%,131.8,22,6,23,25,48.1%,29.3%,0.235,34,8,0,6,1,0
カーブ,73,5.9%,116.3,5,14,9,24,38.4%,14.3%,0.273,22,6,0,1,0,1
ツーシーム,43,3.5%,145.6,1,7,13,11,48.8%,4.0%,0.455,11,5,0,1,0,0
スプリット,36,2.9%,140.6,7,3,5,9,41.7%,29.2%,0.214,14,3,0,2,1,0
シュート,22,1.8%,140.1,1,2,3,9,27.3%,9.1%,0.0,6,0,0,0,0,0
シンカー,20,1.6%,132.3,1,2,3,7,30.0%,9.1%,0.571,7,4,0,0,1,0
縦スライダー,11,0.9%,130.2,1,2,0,5,27.3%,25.0%,0.667,3,2,0,0,0,0
ナックルカーブ,8,0.6%,125.3,1,2,0,2,37.5%,25.0%,0.25,4,1,0,1,0,0
スローカーブ,4,0.3%,94.0,0,1,0,1,25.0%,0.0%,0.5,2,1,0,0,0,0
高速スライダー,2,0.2%,129.5,0,0,0,0,0.0%,0.0%,0.0,2,0,0,0,0,0
