条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右投手,0.3,286,270,81,11,6,1,36,9,3,2,2
対左投手,0.241,98,87,21,4,1,1,13,5,0,3,3
