月名,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
3・4月,.230,22,78,74,7,17,2,0,0,19,7,8,2,0,0,1,1,3,0,1,.247,.257,0.504
5月,.294,17,56,51,7,15,2,0,0,17,3,7,4,0,1,0,0,3,0,0,.357,.333,0.69
6月,.207,15,31,29,3,6,3,0,0,9,2,3,0,0,1,0,1,0,0,0,.226,.310,0.536
7月,.194,12,36,31,2,6,0,0,0,6,4,8,3,0,0,0,2,2,0,1,.250,.194,0.444
8月,.349,17,65,63,12,22,1,3,0,29,4,12,1,0,0,1,0,9,2,1,.359,.460,0.82
9月,.327,26,110,101,16,33,7,2,2,50,13,10,4,0,1,3,1,3,1,2,.355,.495,0.85
10月,.375,2,8,8,2,3,0,2,0,7,1,1,0,0,0,0,0,0,1,0,.375,.875,1.25
11月,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
