左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
38.5% (5),38.5% (5),38.5% (5),38.5% (5),38.5% (5),38.5% (5),23.1% (3),23.1% (3),23.1% (3)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
66.7% (2),- (0),30.0% (3),33.3% (1),- (0),40.0% (4),0.0% (0),- (0),30.0% (3)
