打率.246,試合61,打席140,打数126,得点12,安打31,内安1,内安率3.2,２Ｂ4,３Ｂ2,本塁0,HR勝敗0,塁打39,打点5,三振29
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
7,1,1,6,0,3,3,50.0,2,0,1,.111,.291,.310,.601
