NOI410.9,GPA.220,RC50.23,RC273.80,XR49.87,XR273.77,RCAA1.90,XR+0.97,RCWIN0.22,XRWIN0.11,BABIP.305
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.23,0.028,28.88,6.55,0.084,77.00,0.160,0.573,9.43,20.0%,
