球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,877,45.4%,147.2,44,204,203,260,51.4%,10.7%,.246,187,46,3,24,9,2
スライダー,232,12.0%,129.3,32,48,36,73,50.0%,28.8%,.291,55,16,0,12,3,0
フォーク,174,9.0%,136.6,29,17,32,53,44.8%,27.9%,.231,52,12,1,13,0,0
カットボール,149,7.7%,137.6,14,27,29,45,47.0%,18.2%,.289,38,11,1,4,1,0
カーブ,126,6.5%,117.5,12,34,14,48,47.6%,27.3%,.217,23,5,0,5,2,0
チェンジアップ,122,6.3%,131.8,14,18,23,43,45.1%,23.0%,.296,27,8,0,3,0,0
ツーシーム,77,4.0%,143.2,3,17,14,20,44.2%,7.5%,.333,24,8,0,3,0,0
スプリット,67,3.5%,139.6,11,5,13,18,43.3%,25.0%,.304,23,7,0,4,1,0
シンカー,41,2.1%,130.3,5,7,3,13,36.6%,23.8%,.188,16,3,0,3,0,0
ナックルカーブ,20,1.0%,125.6,3,4,2,8,45.0%,37.5%,.333,6,2,0,3,0,0
シュート,19,1.0%,140.1,0,8,4,2,63.2%,0.0%,.600,5,3,1,0,0,0
縦スライダー,15,0.8%,132.0,3,1,5,3,60.0%,27.3%,.250,4,1,0,1,0,0
パワーカーブ,10,0.5%,123.7,1,2,3,3,60.0%,20.0%,.000,1,0,0,0,1,0
スローカーブ,3,0.2%,96.0,1,1,0,0,66.7%,50.0%,1.000,1,1,0,0,0,0
ナックル,1,0.1%,97.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
