アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,51,29.8%,安打,30,56.6%
フライ,60,35.1%,四死球,22,41.5%
空三振,46,26.9%,失策出塁,1,1.9%
見三振,11,6.4%,野選,0,0.0%
犠打,3,1.8%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
