HQS率-,SQS率-,被打率.152,被BABIP.206,被出塁率.235,被長打率.198,K/BB2.71,K/98.90,BB/93.28,HR/90.16,GO/AO0.85,援護率-,IPR5.24,NHB%48.3%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.11,81.0%,9.93,1.17,10.04,513,5.1,0,0,57.2,11,29,54,
