NOI154.0,GPA.078,RC-0.74,RC27-0.87,XR-0.53,XR27-0.63,RCAA-3.21,XR+-3.02,RCWIN-0.38,XRWIN-0.36,BABIP.133
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.13,0.038,26.00,3.25,-0.000,-,0.043,0.143,-,34.6%,
