HQS率-,SQS率-,被打率.238,被BABIP.267,被出塁率.304,被長打率.476,K/BB2.50,K/99.00,BB/93.60,HR/91.80,GO/AO1.25,援護率-,IPR2.50,NHB%20.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
4.54,89.3%,-0.14,-0.02,0.69,25,2.0,0,0,5.0,2,1,3,
