打順,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
Home,0.331,34,135,118,15,39,3,0,7,63,24,26,13,1,4,0,0,0,0,0,0.415,0.534,0.949
Visitor,0.272,33,141,125,14,34,6,0,6,58,15,33,14,1,2,0,0,0,0,1,0.355,0.464,0.819
