打席数,打数,安打,打率,本塁,三振,四死,犠打,犠飛,出塁率
1打席目,58,18,0.31,2,18,7,0,0,0.385
2打席目,57,20,0.351,4,11,8,0,0,0.431
3打席目,55,16,0.291,6,9,9,0,0,0.391
4打席目,53,11,0.208,0,16,6,0,0,0.288
5打席目以上,18,6,0.333,1,5,3,0,0,0.429
