打席数,打数,安打,打率,本塁,三振,四死,犠打,犠飛,出塁率
1打席目,8,2,0.25,0,2,1,0,0,0.333
2打席目,9,1,0.111,0,2,0,0,0,0.111
3打席目,6,1,0.167,0,2,1,1,0,0.286
4打席目,4,1,0.25,0,0,1,0,0,0.4
5打席目以上,1,0,0.0,0,1,0,0,0,0.0
