NOI331.3,GPA.176,RC1.93,RC272.01,XR2.01,XR272.09,RCAA-1.42,XR+-1.37,RCWIN-0.16,XRWIN-0.16,BABIP.217
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.29,0.076,17.00,4.86,0.100,-,0.167,0.440,-,26.5%,
