球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,67,46.2%,148.3,6,10,13,22,43.3%,17.1%,.100,20,2,0,5,0,0
スライダー,16,11.0%,126.7,1,6,3,6,62.5%,25.0%,.000,1,0,0,1,0,1
チェンジアップ,15,10.3%,125.1,2,1,4,6,46.7%,25.0%,.500,2,1,0,0,0,0
フォーク,11,7.6%,137.1,3,1,4,3,72.7%,42.9%,-,0,0,0,0,1,0
カーブ,8,5.5%,111.5,1,5,0,2,75.0%,100.0%,.000,1,0,0,1,0,0
シュート,7,4.8%,145.7,0,1,1,4,28.6%,0.0%,1.000,1,1,0,0,0,0
カットボール,7,4.8%,136.3,0,0,4,2,57.1%,0.0%,.000,1,0,0,0,0,0
ツーシーム,6,4.1%,148.0,0,0,3,2,50.0%,0.0%,1.000,1,1,0,0,0,0
縦スライダー,3,2.1%,130.0,0,0,0,3,0.0%,-%,-,0,0,0,0,1,0
スプリット,2,1.4%,145.0,0,0,0,1,0.0%,0.0%,.000,1,0,0,0,0,0
シンカー,2,1.4%,130.0,0,0,1,0,50.0%,0.0%,.000,1,0,0,0,0,0
ナックルカーブ,1,0.7%,132.0,0,0,0,0,0.0%,0.0%,.000,1,0,0,0,0,0
