NOI0.0,GPA.000,RC-0.48,RC27-2.17,XR-0.43,XR27-1.95,RCAA-1.05,XR+-1.01,RCWIN-0.12,XRWIN-0.12,BABIP.000
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,0.000,-,2.00,0.000,-,0.000,0.000,-,50.0%,
