打率.223,試合81,打席176,打数157,得点14,安打35,内安7,内安率20.0,２Ｂ6,３Ｂ1,本塁0,HR勝敗0,塁打43,打点4,三振32
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
10,0,1,8,0,6,1,85.7,3,0,2,.281,.274,.274,.548
