球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,239,49.0%,148.4,17,25,61,91,43.1%,13.8%,.179,56,10,0,15,9,1
フォーク,41,8.4%,136.4,9,5,8,13,53.7%,39.1%,.000,10,0,0,5,2,0
カーブ,38,7.8%,117.6,8,8,6,14,57.9%,50.0%,.250,4,1,0,2,0,0
チェンジアップ,36,7.4%,134.2,8,7,8,10,63.9%,42.1%,.000,5,0,0,2,2,0
カットボール,35,7.2%,138.9,4,5,4,17,37.1%,30.8%,.429,7,3,0,2,0,1
スライダー,33,6.8%,129.3,4,6,3,12,39.4%,26.7%,.273,11,3,0,3,1,0
スプリット,22,4.5%,138.9,3,3,3,7,40.9%,25.0%,.286,7,2,0,2,0,0
ツーシーム,17,3.5%,145.1,4,1,2,6,41.2%,40.0%,.750,4,3,0,0,0,0
シンカー,11,2.3%,132.0,1,2,5,3,72.7%,16.7%,-,0,0,0,0,0,0
縦スライダー,9,1.8%,130.8,2,1,0,5,33.3%,66.7%,.000,1,0,0,0,0,0
シュート,4,0.8%,142.7,0,0,1,1,25.0%,0.0%,.000,2,0,0,0,0,0
ナックルカーブ,3,0.6%,123.7,0,1,0,1,33.3%,0.0%,.000,1,0,0,0,0,0
