左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
37.6% (121),37.6% (121),37.6% (121),22.0% (71),22.0% (71),22.0% (71),40.4% (130),40.4% (130),40.4% (130)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
40.9% (47),20.0% (1),36.1% (73),24.3% (28),20.0% (1),20.8% (42),34.8% (40),60.0% (3),43.1% (87)
