アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,105,39.5%,安打,120,82.2%
フライ,97,36.5%,四死球,20,13.7%
空三振,49,18.4%,失策出塁,6,4.1%
見三振,11,4.1%,野選,0,0.0%
犠打,4,1.5%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
