防御率3.44,試合15,先発15,救援0,連投(試)0,連投(日)0,勝利4,敗戦9,HLD0,Ｓ0,ＨＰ0,ＳＰ0,救勝0,救敗0,完投1,完封1,無四球1
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.308,83.2,364,1448,17.3,83,9,50,21,0,6,0,0,41,32,1.24,40.0%
