HQS率20.0%,SQS率20.0%,被打率.249,被BABIP.267,被出塁率.303,被長打率.399,K/BB2.38,K/95.38,BB/92.26,HR/90.97,GO/AO0.70,援護率3.20,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.91,70.8%,-9.91,-1.15,-3.74,291,0.0,90,32,0.0,0,0,0,
