打率.264,試合141,打席587,打数503,得点52,安打133,内安9,内安率6.8,２Ｂ25,３Ｂ1,本塁13,HR勝敗5-7-1,塁打199,打点75,三振96
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
74,7,6,0,4,6,3,66.7,6,0,16,.316,.363,.396,.758
