打順,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
Day,0.295,37,149,129,12,38,12,0,4,62,19,21,20,1,0,0,0,1,2,2,0.389,0.481,0.87
Nighter,0.254,104,438,374,40,95,13,1,9,137,56,75,54,6,6,0,4,5,1,4,0.354,0.366,0.72
