左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
49.3% (199),49.3% (199),49.3% (199),20.8% (84),20.8% (84),20.8% (84),30.0% (121),30.0% (121),30.0% (121)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
53.3% (64),69.2% (9),46.5% (126),28.3% (34),7.7% (1),18.1% (49),18.3% (22),23.1% (3),35.4% (96)
