NOI494.7,GPA.262,RC73.59,RC275.06,XR72.94,XR275.01,RCAA17.79,XR+16.86,RCWIN2.10,XRWIN1.98,BABIP.302
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.77,0.098,7.93,6.11,0.131,38.69,0.284,0.725,8.21,31.2%,
