連続項目,フラグ (現状値 / 最高値)
得点,1試合 / 5試合
安打,0試合 / 10試合
無安打,1試合 / 4試合
打点,0試合 / 5試合
本塁打,0試合 / 2試合
出塁,1試合 / 22試合
