防御率1.10,試合14,先発0,救援14,連投(試)0,連投(日)0,勝利2,敗戦0,HLD4,Ｓ0,ＨＰ6,ＳＰ2,救勝2,救敗0,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
1.000,16.1,63,258,15.8,12,0,18,5,0,0,0,0,2,2,1.04,-
