NOI0.0,GPA.000,RC-1.26,RC27-2.84,XR-1.14,XR27-2.57,RCAA-2.40,XR+-2.29,RCWIN-0.28,XRWIN-0.27,BABIP.000
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,0.000,-,1.50,0.000,-,0.000,0.000,-,66.7%,
