NOI454.7,GPA.243,RC53.54,RC274.38,XR53.25,XR274.36,RCAA8.86,XR+8.34,RCWIN1.04,XRWIN0.98,BABIP.292
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.62,0.064,11.46,7.12,0.123,52.88,0.232,0.646,8.00,24.5%,
