HQS率-,SQS率-,被打率.288,被BABIP.345,被出塁率.395,被長打率.438,K/BB1.17,K/96.87,BB/95.89,HR/90.49,GO/AO1.24,援護率-,IPR2.04,NHB%25.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.88,76.7%,-2.19,-0.25,-2.81,135,5.2,0,0,18.1,9,5,14,
