球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,被打率,被打数,被安,被本,奪三振,与四球,与死球
ストレート,144,75.4%,148.3,6,16,31,55,36.8%,8.2%,0.297,37,11,1,1,8,0
フォーク,32,16.8%,137.7,5,2,3,20,31.3%,50.0%,0.0,4,0,0,3,0,0
スライダー,15,7.9%,134.1,0,1,1,12,13.3%,0.0%,1.0,1,1,0,0,0,0
