アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,12,38.7%,安打,12,60.0%
フライ,15,48.4%,四死球,8,40.0%
空三振,3,9.7%,失策出塁,0,0.0%
見三振,1,3.2%,野選,0,0.0%
犠打,0,0.0%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
