HQS率-,SQS率-,被打率.571,被BABIP.800,被出塁率.625,被長打率.571,K/BB2.00,K/918.00,BB/99.00,HR/90.00,GO/AO0.00,援護率-,IPR0.33,NHB%0.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
1.74,40.0%,-2.63,-0.30,-2.66,3,1.0,0,0,1.0,3,0,0,
