HQS率-,SQS率-,被打率.250,被BABIP.283,被出塁率.302,被長打率.349,K/BB2.13,K/95.81,BB/92.73,HR/90.51,GO/AO0.92,援護率-,IPR2.51,NHB%45.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.96,71.9%,-1.88,-0.22,-1.61,408,11.1,0,0,52.2,21,27,46,
