条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,.500,30,20,10,4,0,0,0,2,0,8,0,0.545
1-0より,.313,16,16,5,0,0,1,0,0,0,0,0,0.313
2-0より,.000,3,3,0,0,0,0,0,0,0,0,0,0.0
3-0より,-,3,0,0,0,0,0,0,3,0,0,0,1.0
0-1より,.400,11,10,4,1,0,0,0,0,0,1,0,0.4
1-1より,.286,16,14,4,1,0,1,0,0,0,0,2,0.25
2-1より,.333,19,18,6,0,0,0,0,0,0,0,1,0.316
3-1より,1.000,3,1,1,1,0,0,0,2,0,0,0,1.0
0-2より,.091,11,11,1,0,0,0,0,0,0,0,0,0.091
1-2より,.178,46,45,8,2,0,0,12,0,0,0,1,0.174
2-2より,.219,32,32,7,0,0,1,14,0,0,0,0,0.219
3-2より,.091,31,22,2,1,0,0,8,9,0,0,0,0.355
