防御率3.25,試合60,先発0,救援60,連投(試)0,連投(日)0,勝利1,敗戦4,HLD23,Ｓ1,ＨＰ24,ＳＰ2,救勝1,救敗4,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.200,52.2,221,869,16.5,48,3,34,16,3,0,1,0,21,19,1.22,-
