防御率1.46,試合24,先発24,救援0,連投(試)0,連投(日)0,勝利12,敗戦3,HLD0,Ｓ0,ＨＰ0,ＳＰ0,救勝0,救敗0,完投3,完封2,無四球1
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.800,167.0,639,2561,15.3,112,10,172,42,0,3,1,0,29,27,0.92,79.2%
