HQS率-,SQS率-,被打率.240,被BABIP.279,被出塁率.295,被長打率.340,K/BB3.22,K/96.21,BB/91.93,HR/90.43,GO/AO0.76,援護率-,IPR3.50,NHB%43.1%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.79,80.1%,3.25,0.38,2.87,296,7.2,0,0,42.0,12,22,41,
