防御率6.00,試合13,先発1,救援12,連投(試)0,連投(日)0,勝利1,敗戦3,HLD1,Ｓ0,ＨＰ2,ＳＰ1,救勝1,救敗2,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.250,27.0,127,524,19.4,31,4,25,19,2,1,1,0,18,18,1.85,0.0%
