打率.269,試合65,打席246,打数219,得点35,安打59,内安4,内安率6.8,２Ｂ14,３Ｂ0,本塁11,HR勝敗8-2-0,塁打106,打点28,三振45
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
26,6,1,0,0,0,0,-,2,0,10,.180,.350,.484,.834
