NOI510.9,GPA.278,RC34.35,RC275.45,XR33.10,XR275.26,RCAA10.96,XR+9.60,RCWIN1.29,XRWIN1.13,BABIP.294
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.58,0.080,9.46,5.47,0.215,19.91,0.333,0.782,0.00,33.3%,
