左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
36.4% (47),36.4% (47),36.4% (47),15.5% (20),15.5% (20),15.5% (20),48.1% (62),48.1% (62),48.1% (62)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
34.4% (11),0.0% (0),37.5% (36),18.8% (6),0.0% (0),14.6% (14),46.9% (15),100.0% (1),47.9% (46)
