NOI88.9,GPA.047,RC-0.91,RC27-1.63,XR-0.78,XR27-1.40,RCAA-2.43,XR+-2.30,RCWIN-0.29,XRWIN-0.27,BABIP.125
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,-0.000,-,2.29,-0.000,-,0.000,0.071,-,43.8%,
