条件,1回,2回,3回,4回,5回,6回,7回,8回,9回,10回,11回,12回,合計
勝利,2,0,0,0,1,1,0,0,0,0,0,0,4
敗戦,10,5,3,7,3,6,4,0,2,0,0,0,40
勝敗無,4,6,2,6,3,2,0,0,0,0,0,0,23
