NOI121.2,GPA.064,RC-0.52,RC27-1.41,XR-0.43,XR27-1.17,RCAA-1.57,XR+-1.48,RCWIN-0.18,XRWIN-0.17,BABIP.143
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,0.000,-,2.75,0.000,-,0.000,0.100,-,36.4%,
