HQS率-,SQS率-,被打率.279,被BABIP.359,被出塁率.397,被長打率.459,K/BB1.58,K/911.40,BB/97.20,HR/91.80,GO/AO1.88,援護率-,IPR1.88,NHB%12.5%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
4.84,84.7%,-2.55,-0.30,-2.05,55,6.0,0,0,15.0,8,2,9,
