球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,被打率,被打数,被安,被本,奪三振,与四球,与死球
ストレート,188,62.3%,154.2,17,33,31,78,43.1%,22.1%,0.324,37,12,3,10,8,0
ナックルカーブ,53,17.5%,139.0,6,13,3,22,41.5%,33.3%,0.067,15,1,0,6,1,0
カットボール,45,14.9%,145.9,1,10,9,21,44.4%,7.1%,0.8,5,4,0,1,0,0
スプリット,16,5.3%,142.5,2,0,4,8,37.5%,25.0%,0.0,4,0,0,2,1,0
